[2018-06-04 00:04:25,493]-[log.py]-INFO:开始点击登录界面的语言选择
[2018-06-04 00:04:26,344]-[log.py]-INFO:成功选择简体中文
[2018-06-04 00:04:30,037]-[log.py]-INFO:输入用户名
[2018-06-04 00:04:30,343]-[log.py]-INFO:输入密码
[2018-06-04 00:04:30,533]-[log.py]-INFO:点击“保持登录”
[2018-06-04 00:04:30,721]-[log.py]-INFO:点击“登录”按钮
[2018-06-04 00:04:36,439]-[log.py]-INFO:成功点击“后台管理”按钮
[2018-06-04 00:04:40,098]-[log.py]-INFO:成功进入“后台管理”框架
[2018-06-04 00:04:40,409]-[log.py]-INFO:成功点击“组织”按钮
[2018-06-04 00:04:43,322]-[log.py]-INFO:成功点击“新增用户”按钮
[2018-06-04 00:04:48,143]-[log.py]-INFO:输入“用户名”
[2018-06-04 00:04:48,428]-[log.py]-INFO:输入“真实姓名”
[2018-06-04 00:04:48,676]-[log.py]-INFO:性别选择“女”
[2018-06-04 00:04:48,938]-[log.py]-INFO:部门选择“销售”
[2018-06-04 00:04:49,227]-[log.py]-INFO:角色选择“销售”
[2018-06-04 00:04:49,545]-[log.py]-INFO:输入密码
[2018-06-04 00:04:49,844]-[log.py]-INFO:再次输入密码
[2018-06-04 00:04:50,333]-[log.py]-INFO:输入邮箱
[2018-06-04 00:04:50,693]-[log.py]-INFO:点击“提交”按钮
[2018-06-04 00:04:51,199]-[log.py]-INFO:退出“后台管理”框架
[2018-06-04 00:04:54,264]-[log.py]-INFO:进入“后台管理”框架
[2018-06-04 00:04:57,871]-[log.py]-INFO:记录新增成功！新增记录 user23 不是在第一页被找到！
[2018-06-04 00:04:58,318]-[log.py]-INFO:成功退出“后台管理”框架
[2018-06-04 00:04:58,336]-[log.py]-INFO:成功连接上数据库ranzhi.sys_user
[2018-06-04 00:04:58,352]-[log.py]-INFO:成功获取到sys_user表account用户名字段值
[2018-06-04 00:08:18,169]-[log.py]-INFO:开始点击登录界面的语言选择
[2018-06-04 00:08:18,954]-[log.py]-INFO:成功选择简体中文
[2018-06-04 00:08:22,605]-[log.py]-INFO:输入用户名
[2018-06-04 00:08:22,865]-[log.py]-INFO:输入密码
[2018-06-04 00:08:23,028]-[log.py]-INFO:点击“保持登录”
[2018-06-04 00:08:23,239]-[log.py]-INFO:点击“登录”按钮
[2018-06-04 00:08:28,958]-[log.py]-INFO:成功点击“后台管理”按钮
[2018-06-04 00:08:32,582]-[log.py]-INFO:成功进入“后台管理”框架
[2018-06-04 00:08:32,891]-[log.py]-INFO:成功点击“组织”按钮
[2018-06-04 00:08:35,692]-[log.py]-INFO:成功点击“新增用户”按钮
[2018-06-04 00:08:40,482]-[log.py]-INFO:输入“用户名”
[2018-06-04 00:08:40,809]-[log.py]-INFO:输入“真实姓名”
[2018-06-04 00:08:41,058]-[log.py]-INFO:性别选择“女”
[2018-06-04 00:08:41,308]-[log.py]-INFO:部门选择“销售”
[2018-06-04 00:08:41,593]-[log.py]-INFO:角色选择“销售”
[2018-06-04 00:08:41,892]-[log.py]-INFO:输入密码
[2018-06-04 00:08:42,196]-[log.py]-INFO:再次输入密码
[2018-06-04 00:08:42,585]-[log.py]-INFO:输入邮箱
[2018-06-04 00:08:42,924]-[log.py]-INFO:点击“提交”按钮
[2018-06-04 00:08:43,410]-[log.py]-INFO:退出“后台管理”框架
[2018-06-04 00:08:46,473]-[log.py]-INFO:进入“后台管理”框架
[2018-06-04 00:08:52,744]-[log.py]-INFO:记录新增成功！新增记录 user24 不是在第一页被找到！
[2018-06-04 00:08:53,142]-[log.py]-INFO:成功退出“后台管理”框架
[2018-06-04 00:08:53,158]-[log.py]-INFO:成功连接上数据库ranzhi.sys_user
[2018-06-04 00:08:53,173]-[log.py]-INFO:成功获取到sys_user表account用户名字段值
[2018-06-04 00:08:53,189]-[log.py]-INFO:成功连接上数据库!
[2018-06-04 00:08:53,204]-[log.py]-INFO:成功获取到想要对比的字段
[2018-06-04 00:08:53,206]-[log.py]-INFO:数据库校验成功，确实有新增的字段记录user24
[2018-06-04 18:20:05,903]-[log.py]-INFO:开始点击登录界面的语言选择
[2018-06-04 18:20:06,702]-[log.py]-INFO:成功选择简体中文
[2018-06-04 18:20:10,337]-[log.py]-INFO:输入用户名
[2018-06-04 18:20:10,529]-[log.py]-INFO:输入密码
[2018-06-04 18:20:10,670]-[log.py]-INFO:点击“保持登录”
[2018-06-04 18:20:10,847]-[log.py]-INFO:点击“登录”按钮
[2018-06-04 18:25:10,648]-[log.py]-INFO:开始点击登录界面的语言选择
[2018-06-04 18:25:12,080]-[log.py]-INFO:成功选择简体中文
[2018-06-04 18:25:15,663]-[log.py]-INFO:输入用户名
[2018-06-04 18:25:15,881]-[log.py]-INFO:输入密码
[2018-06-04 18:25:16,042]-[log.py]-INFO:点击“保持登录”
[2018-06-04 18:25:16,213]-[log.py]-INFO:点击“登录”按钮
[2018-06-04 18:26:14,463]-[log.py]-INFO:开始点击登录界面的语言选择
[2018-06-04 18:26:16,203]-[log.py]-INFO:成功选择简体中文
[2018-06-04 18:26:19,768]-[log.py]-INFO:输入用户名
[2018-06-04 18:26:19,992]-[log.py]-INFO:输入密码
[2018-06-04 18:26:20,131]-[log.py]-INFO:点击“保持登录”
[2018-06-04 18:26:20,333]-[log.py]-INFO:点击“登录”按钮
[2018-06-04 18:34:45,010]-[log.py]-INFO:开始点击登录界面的语言选择
[2018-06-04 18:34:45,859]-[log.py]-INFO:成功选择简体中文
[2018-06-04 18:34:49,818]-[log.py]-INFO:输入用户名
[2018-06-04 18:34:50,036]-[log.py]-INFO:输入密码
[2018-06-04 18:34:50,178]-[log.py]-INFO:点击“保持登录”
[2018-06-04 18:34:50,352]-[log.py]-INFO:点击“登录”按钮
[2018-06-04 18:35:24,821]-[log.py]-INFO:开始点击登录界面的语言选择
[2018-06-04 18:35:25,515]-[log.py]-INFO:成功选择简体中文
[2018-06-04 18:35:29,064]-[log.py]-INFO:输入用户名
